"row.list"	"DSC.list"	"responses"
"152"	"73"	"DSC_3504"	"1"
"153"	"73"	"DSC_3496"	"1"
"154"	"73"	"DSC_3491"	"1"
"155"	"73"	"DSC_3505"	"1"
"156"	"74"	"DSC_3527"	"1"
"157"	"74"	"DSC_3534"	"1"
"158"	"74"	"DSC_3533"	"1"
"159"	"74"	"DSC_3522"	"1"
"160"	"74"	"DSC_3515"	"1"
"161"	"74"	"DSC_3520"	"1"
"162"	"74"	"DSC_3525"	"1"
"163"	"74"	"DSC_3523"	"1"
"164"	"74"	"DSC_3532"	"1"
"165"	"74"	"DSC_3529"	"1"
"166"	"74"	"DSC_3514"	"1"
"167"	"74"	"DSC_3516"	"1"
"168"	"74"	"DSC_3528"	"1"
"169"	"74"	"DSC_3518"	"1"
"170"	"74"	"DSC_3513"	"1"
"171"	"74"	"DSC_3521"	"1"
"172"	"74"	"DSC_3526"	"1"
"173"	"74"	"DSC_3519"	"1"
"174"	"74"	"DSC_3511"	"1"
"175"	"74"	"DSC_3535"	"1"
"176"	"74"	"DSC_3531"	"1"
"177"	"74"	"DSC_3524"	"1"
"178"	"74"	"DSC_3536"	"1"
"179"	"74"	"DSC_3512"	"1"
"180"	"74"	"DSC_3517"	"1"
"181"	"74"	"DSC_3530"	"1"
"182"	"76"	"DSC_3673"	"1"
"183"	"76"	"DSC_3653"	"1"
"184"	"76"	"DSC_3656"	"1"
"185"	"76"	"DSC_3662"	"1"
"186"	"76"	"DSC_3659"	"1"
"187"	"76"	"DSC_3655"	"1"
"188"	"76"	"DSC_3658"	"1"
"189"	"76"	"DSC_3675"	"1"
"190"	"76"	"DSC_3683"	"1"
"191"	"76"	"DSC_3668"	"1"
"192"	"76"	"DSC_3667"	"1"
"193"	"76"	"DSC_3682"	"1"
"194"	"76"	"DSC_3663"	"1"
"195"	"76"	"DSC_3679"	"1"
"196"	"76"	"DSC_3664"	"1"
"197"	"76"	"DSC_3652"	"1"
"198"	"76"	"DSC_3677"	"1"
"199"	"76"	"DSC_3669"	"1"
"200"	"76"	"DSC_3672"	"1"
"201"	"76"	"DSC_3666"	"1"
"202"	"76"	"DSC_3678"	"1"
"203"	"76"	"DSC_3660"	"1"
"204"	"76"	"DSC_3680"	"1"
"205"	"76"	"DSC_3665"	"1"
"206"	"76"	"DSC_3681"	"1"
"207"	"76"	"DSC_3661"	"1"
"208"	"76"	"DSC_3676"	"1"
"209"	"76"	"DSC_3654"	"1"
"210"	"76"	"DSC_3657"	"1"
"211"	"76"	"DSC_3670"	"1"
"212"	"76"	"DSC_3671"	"1"
"213"	"76"	"DSC_3674"	"1"
"214"	"77"	"DSC_3798"	"1"
"215"	"77"	"DSC_3804"	"1"
"216"	"77"	"DSC_3768"	"1"
"217"	"77"	"DSC_3771"	"1"
"218"	"77"	"DSC_3787"	"1"
"219"	"77"	"DSC_3812"	"1"
"220"	"77"	"DSC_3773"	"1"
"221"	"77"	"DSC_3807"	"1"
"222"	"77"	"DSC_3725"	"1"
"223"	"77"	"DSC_3797"	"1"
"224"	"77"	"DSC_3813"	"1"
"225"	"77"	"DSC_3776"	"1"
"226"	"77"	"DSC_3809"	"1"
"227"	"77"	"DSC_3811"	"1"
"228"	"77"	"DSC_3774"	"1"
"229"	"77"	"DSC_3800"	"1"
"230"	"77"	"DSC_3726"	"1"
"231"	"77"	"DSC_3723"	"1"
"232"	"77"	"DSC_3810"	"1"
"233"	"77"	"DSC_3793"	"1"
"234"	"77"	"DSC_3799"	"1"
"235"	"77"	"DSC_3727"	"1"
"236"	"77"	"DSC_3788"	"1"
"237"	"77"	"DSC_3802"	"1"
"238"	"77"	"DSC_3806"	"1"
"239"	"77"	"DSC_3808"	"1"
"240"	"77"	"DSC_3791"	"1"
"241"	"77"	"DSC_3805"	"1"
"242"	"77"	"DSC_3795"	"1"
"243"	"77"	"DSC_3789"	"1"
"244"	"77"	"DSC_3775"	"1"
"245"	"77"	"DSC_3803"	"1"
"246"	"77"	"DSC_3794"	"1"
"247"	"77"	"DSC_3769"	"1"
"248"	"77"	"DSC_3801"	"1"
"249"	"77"	"DSC_3796"	"1"
"250"	"77"	"DSC_3767"	"1"
"251"	"77"	"DSC_3792"	"1"
"252"	"77"	"DSC_3770"	"1"
"253"	"77"	"DSC_3790"	"1"
"254"	"77"	"DSC_3772"	"1"
"255"	"77"	"DSC_3724"	"1"
"256"	"78"	"DSC_3846"	"1"
"257"	"78"	"DSC_3832"	"1"
"258"	"78"	"DSC_3828"	"1"
"259"	"78"	"DSC_3837"	"1"
"260"	"78"	"DSC_3848"	"1"
"261"	"78"	"DSC_3850"	"1"
"262"	"78"	"DSC_3847"	"1"
"263"	"78"	"DSC_3829"	"1"
"264"	"78"	"DSC_3825"	"1"
"265"	"78"	"DSC_3823"	"1"
"266"	"78"	"DSC_3849"	"1"
"267"	"78"	"DSC_3830"	"1"
"268"	"78"	"DSC_3851"	"1"
"269"	"78"	"DSC_3827"	"1"
"270"	"78"	"DSC_3824"	"1"
"271"	"78"	"DSC_3831"	"1"
"272"	"78"	"DSC_3836"	"1"
"273"	"78"	"DSC_3833"	"1"
"274"	"78"	"DSC_3834"	"1"
"275"	"78"	"DSC_3835"	"1"
"276"	"78"	"DSC_3821"	"1"
"277"	"78"	"DSC_3822"	"1"
"278"	"78"	"DSC_3826"	"1"
"279"	"78"	"DSC_3838"	"1"
"280"	"79"	"DSC_3960"	"1"
"281"	"79"	"DSC_3949"	"1"
"282"	"79"	"DSC_3957"	"1"
"283"	"79"	"DSC_3971"	"1"
"284"	"79"	"DSC_3962"	"1"
"285"	"79"	"DSC_3967"	"1"
"286"	"79"	"DSC_3969"	"1"
"287"	"79"	"DSC_3936"	"1"
"288"	"79"	"DSC_3934"	"1"
"289"	"79"	"DSC_3888"	"1"
"290"	"79"	"DSC_3891"	"1"
"291"	"79"	"DSC_3887"	"1"
"292"	"79"	"DSC_3948"	"1"
"293"	"79"	"DSC_3974"	"1"
"294"	"79"	"DSC_3932"	"1"
"295"	"79"	"DSC_3956"	"1"
"296"	"79"	"DSC_3954"	"1"
"297"	"79"	"DSC_3953"	"1"
"298"	"79"	"DSC_3968"	"1"
"299"	"79"	"DSC_3973"	"1"
"300"	"79"	"DSC_3955"	"1"
"301"	"79"	"DSC_3970"	"1"
"302"	"79"	"DSC_3976"	"1"
"303"	"79"	"DSC_3935"	"1"
"304"	"79"	"DSC_3933"	"1"
"305"	"79"	"DSC_3929"	"1"
"306"	"79"	"DSC_3939"	"1"
"307"	"79"	"DSC_3977"	"1"
"308"	"79"	"DSC_3965"	"1"
"309"	"79"	"DSC_3975"	"1"
"310"	"79"	"DSC_3961"	"1"
"311"	"79"	"DSC_3930"	"1"
"312"	"79"	"DSC_3890"	"1"
"313"	"79"	"DSC_3952"	"1"
"314"	"79"	"DSC_3951"	"1"
"315"	"79"	"DSC_3964"	"1"
"316"	"79"	"DSC_3959"	"1"
"317"	"79"	"DSC_3931"	"1"
"318"	"79"	"DSC_3938"	"1"
"319"	"79"	"DSC_3940"	"1"
"320"	"79"	"DSC_3889"	"1"
"321"	"79"	"DSC_3972"	"1"
"322"	"79"	"DSC_3963"	"1"
"323"	"79"	"DSC_3950"	"1"
"324"	"79"	"DSC_3937"	"1"
"325"	"79"	"DSC_3966"	"1"
"326"	"79"	"DSC_3958"	"1"
"327"	"80"	"DSC_3986"	"1"
"328"	"80"	"DSC_4017"	"1"
"329"	"80"	"DSC_4005"	"1"
"330"	"80"	"DSC_3990"	"1"
"331"	"80"	"DSC_3999"	"1"
"332"	"80"	"DSC_3995"	"1"
"333"	"80"	"DSC_3992"	"1"
"334"	"80"	"DSC_3989"	"1"
"335"	"80"	"DSC_4016"	"1"
"336"	"80"	"DSC_4002"	"1"
